neighbourhood_cleansed,price
XII Monte Verde,100
I Centro Storico,62
V Prenestino/Centocelle,40
I Centro Storico,66
II Parioli/Nomentano,45
I Centro Storico,77
XIII Aurelia,45
VII San Giovanni/CinecittĂ ,96
I Centro Storico,90
XIII Aurelia,80
V Prenestino/Centocelle,59
I Centro Storico,138
I Centro Storico,85
XIII Aurelia,67
XIII Aurelia,58
I Centro Storico,100
I Centro Storico,105
XIII Aurelia,144
VIII Appia Antica,60
IX Eur,36
I Centro Storico,113
VIII Appia Antica,37
I Centro Storico,53
I Centro Storico,70
I Centro Storico,104
I Centro Storico,68
I Centro Storico,62
XII Monte Verde,85
I Centro Storico,65
I Centro Storico,90
I Centro Storico,77
XIII Aurelia,100
XIII Aurelia,92
I Centro Storico,95
I Centro Storico,120
X Ostia/Acilia,40
I Centro Storico,93
VII San Giovanni/CinecittĂ ,65
VII San Giovanni/CinecittĂ ,65
I Centro Storico,173
I Centro Storico,85
I Centro Storico,187
I Centro Storico,150
XIII Aurelia,35
I Centro Storico,180
I Centro Storico,75
I Centro Storico,114
I Centro Storico,150
I Centro Storico,91
I Centro Storico,150
I Centro Storico,55
XIII Aurelia,69
I Centro Storico,80
I Centro Storico,35
XII Monte Verde,92
I Centro Storico,130
I Centro Storico,40
I Centro Storico,66
I Centro Storico,89
I Centro Storico,60
I Centro Storico,57
I Centro Storico,58
I Centro Storico,80
XIII Aurelia,60
I Centro Storico,160
VII San Giovanni/CinecittĂ ,60
I Centro Storico,55
X Ostia/Acilia,50
XIII Aurelia,120
XIII Aurelia,60
XIII Aurelia,55
VII San Giovanni/CinecittĂ ,50
I Centro Storico,90
I Centro Storico,60
VII San Giovanni/CinecittĂ ,74
XIV Monte Mario,67
XII Monte Verde,53
XIII Aurelia,60
I Centro Storico,95
I Centro Storico,75
XIII Aurelia,90
I Centro Storico,69
I Centro Storico,66
VII San Giovanni/CinecittĂ ,52
I Centro Storico,50
I Centro Storico,60
I Centro Storico,34
I Centro Storico,70
I Centro Storico,66
I Centro Storico,50
XII Monte Verde,48
XII Monte Verde,35
VII San Giovanni/CinecittĂ ,100
VII San Giovanni/CinecittĂ ,41
I Centro Storico,54
I Centro Storico,120
VIII Appia Antica,60
II Parioli/Nomentano,55
I Centro Storico,50
I Centro Storico,145
I Centro Storico,160
XII Monte Verde,31
I Centro Storico,136
I Centro Storico,185
I Centro Storico,77
I Centro Storico,83
I Centro Storico,70
II Parioli/Nomentano,180
I Centro Storico,155
I Centro Storico,109
I Centro Storico,50
I Centro Storico,80
I Centro Storico,98
I Centro Storico,95
I Centro Storico,90
I Centro Storico,57
XI Arvalia/Portuense,35
XIII Aurelia,38
XIII Aurelia,58
I Centro Storico,71
VII San Giovanni/CinecittĂ ,55
I Centro Storico,90
XIII Aurelia,42
I Centro Storico,70
I Centro Storico,41
I Centro Storico,115
XIII Aurelia,50
VIII Appia Antica,60
I Centro Storico,64
VII San Giovanni/CinecittĂ ,44
I Centro Storico,79
XIII Aurelia,88
II Parioli/Nomentano,70
I Centro Storico,104
I Centro Storico,99
I Centro Storico,130
I Centro Storico,166
I Centro Storico,33
VII San Giovanni/CinecittĂ ,65
XIII Aurelia,25
XII Monte Verde,73
I Centro Storico,29
I Centro Storico,160
XII Monte Verde,60
I Centro Storico,55
I Centro Storico,80
XIII Aurelia,99
I Centro Storico,43
I Centro Storico,100
I Centro Storico,50
VII San Giovanni/CinecittĂ ,66
I Centro Storico,48
XIV Monte Mario,72
I Centro Storico,54
I Centro Storico,63
I Centro Storico,57
I Centro Storico,50
XIII Aurelia,74
I Centro Storico,50
I Centro Storico,140
I Centro Storico,85
I Centro Storico,78
I Centro Storico,80
I Centro Storico,91
II Parioli/Nomentano,49
I Centro Storico,97
I Centro Storico,65
I Centro Storico,72
I Centro Storico,35
I Centro Storico,69
II Parioli/Nomentano,70
XII Monte Verde,70
I Centro Storico,115
I Centro Storico,48
I Centro Storico,168
VIII Appia Antica,60
V Prenestino/Centocelle,56
I Centro Storico,90
I Centro Storico,133
XIII Aurelia,57
I Centro Storico,90
XII Monte Verde,80
XII Monte Verde,61
V Prenestino/Centocelle,65
XIII Aurelia,80
III Monte Sacro,138
I Centro Storico,75
V Prenestino/Centocelle,30
I Centro Storico,95
XII Monte Verde,60
XII Monte Verde,35
XII Monte Verde,31
I Centro Storico,180
XI Arvalia/Portuense,100
I Centro Storico,160
I Centro Storico,89
I Centro Storico,55
I Centro Storico,80
I Centro Storico,100
I Centro Storico,119
VII San Giovanni/CinecittĂ ,93
I Centro Storico,85
XV Cassia/Flaminia,110
II Parioli/Nomentano,49
I Centro Storico,80
I Centro Storico,92
VII San Giovanni/CinecittĂ ,59
I Centro Storico,70
V Prenestino/Centocelle,45
XI Arvalia/Portuense,50
XIII Aurelia,59
VIII Appia Antica,60
I Centro Storico,64
I Centro Storico,87
I Centro Storico,106
I Centro Storico,65
I Centro Storico,150
I Centro Storico,47
I Centro Storico,89
I Centro Storico,79
VII San Giovanni/CinecittĂ ,54
XIII Aurelia,120
I Centro Storico,71
I Centro Storico,46
VI Roma delle Torri,86
XI Arvalia/Portuense,55
XI Arvalia/Portuense,85
XIII Aurelia,75
XIII Aurelia,100
V Prenestino/Centocelle,48
I Centro Storico,89
XIV Monte Mario,36
I Centro Storico,69
XII Monte Verde,65
I Centro Storico,83
XIV Monte Mario,50
I Centro Storico,63
I Centro Storico,50
I Centro Storico,53
I Centro Storico,53
I Centro Storico,52
I Centro Storico,214
XII Monte Verde,77
I Centro Storico,58
VII San Giovanni/CinecittĂ ,65
I Centro Storico,149
XIII Aurelia,55
I Centro Storico,81
I Centro Storico,129
I Centro Storico,52
I Centro Storico,180
XIV Monte Mario,91
XIII Aurelia,59
XIII Aurelia,59
III Monte Sacro,86
I Centro Storico,50
I Centro Storico,85
I Centro Storico,89
XII Monte Verde,300
XV Cassia/Flaminia,200
I Centro Storico,91
II Parioli/Nomentano,40
I Centro Storico,65
XII Monte Verde,27
I Centro Storico,140
XII Monte Verde,100
I Centro Storico,84
I Centro Storico,100
II Parioli/Nomentano,60
I Centro Storico,85
I Centro Storico,83
I Centro Storico,82
I Centro Storico,37
XIV Monte Mario,86
XIII Aurelia,95
XII Monte Verde,70
VII San Giovanni/CinecittĂ ,40
I Centro Storico,110
I Centro Storico,87
V Prenestino/Centocelle,79
I Centro Storico,118
I Centro Storico,126
I Centro Storico,80
I Centro Storico,50
III Monte Sacro,45
I Centro Storico,119
I Centro Storico,79
II Parioli/Nomentano,105
III Monte Sacro,48
XIII Aurelia,50
I Centro Storico,89
VII San Giovanni/CinecittĂ ,49
I Centro Storico,69
I Centro Storico,60
XII Monte Verde,97
XIV Monte Mario,63
XIII Aurelia,100
XII Monte Verde,52
I Centro Storico,130
I Centro Storico,80
I Centro Storico,100
VII San Giovanni/CinecittĂ ,90
I Centro Storico,95
I Centro Storico,130
I Centro Storico,120
I Centro Storico,80
II Parioli/Nomentano,40
I Centro Storico,82
I Centro Storico,95
III Monte Sacro,75
I Centro Storico,135
I Centro Storico,66
I Centro Storico,99
I Centro Storico,70
I Centro Storico,110
I Centro Storico,84
I Centro Storico,176
VII San Giovanni/CinecittĂ ,64
III Monte Sacro,100
I Centro Storico,122
VII San Giovanni/CinecittĂ ,50
XIII Aurelia,60
I Centro Storico,117
I Centro Storico,63
I Centro Storico,50
IV Tiburtina,85
XIII Aurelia,60
XV Cassia/Flaminia,50
I Centro Storico,92
I Centro Storico,96
I Centro Storico,100
XII Monte Verde,75
I Centro Storico,138
II Parioli/Nomentano,66
II Parioli/Nomentano,80
XII Monte Verde,70
VII San Giovanni/CinecittĂ ,68
I Centro Storico,56
I Centro Storico,300
XII Monte Verde,60
VII San Giovanni/CinecittĂ ,55
I Centro Storico,46
II Parioli/Nomentano,86
I Centro Storico,92
XII Monte Verde,60
I Centro Storico,120
XII Monte Verde,100
XV Cassia/Flaminia,60
II Parioli/Nomentano,89
VII San Giovanni/CinecittĂ ,64
XIII Aurelia,54
II Parioli/Nomentano,47
I Centro Storico,96
I Centro Storico,102
XV Cassia/Flaminia,45
XII Monte Verde,80
I Centro Storico,140
I Centro Storico,65
II Parioli/Nomentano,85
XII Monte Verde,45
XIII Aurelia,80
I Centro Storico,104
I Centro Storico,50
I Centro Storico,55
I Centro Storico,110
I Centro Storico,53
I Centro Storico,69
I Centro Storico,60
I Centro Storico,55
XV Cassia/Flaminia,150
XV Cassia/Flaminia,100
V Prenestino/Centocelle,45
VIII Appia Antica,110
I Centro Storico,98
I Centro Storico,70
XI Arvalia/Portuense,36
I Centro Storico,108
II Parioli/Nomentano,65
I Centro Storico,138
II Parioli/Nomentano,73
VIII Appia Antica,45
I Centro Storico,69
VIII Appia Antica,60
I Centro Storico,92
I Centro Storico,80
III Monte Sacro,19
I Centro Storico,78
I Centro Storico,53
I Centro Storico,218
X Ostia/Acilia,60
I Centro Storico,59
I Centro Storico,70
XIII Aurelia,29
I Centro Storico,67
I Centro Storico,110
V Prenestino/Centocelle,30
I Centro Storico,69
I Centro Storico,60
I Centro Storico,76
I Centro Storico,89
I Centro Storico,90
I Centro Storico,120
I Centro Storico,51
XI Arvalia/Portuense,30
I Centro Storico,66
I Centro Storico,108
II Parioli/Nomentano,130
I Centro Storico,49
XII Monte Verde,48
I Centro Storico,63
I Centro Storico,50
XII Monte Verde,113
II Parioli/Nomentano,190
I Centro Storico,176
I Centro Storico,98
V Prenestino/Centocelle,45
II Parioli/Nomentano,70
VII San Giovanni/CinecittĂ ,70
VII San Giovanni/CinecittĂ ,87
V Prenestino/Centocelle,27
VII San Giovanni/CinecittĂ ,80
VIII Appia Antica,67
I Centro Storico,80
I Centro Storico,67
I Centro Storico,60
I Centro Storico,80
I Centro Storico,115
XII Monte Verde,68
I Centro Storico,133
II Parioli/Nomentano,59
I Centro Storico,42
V Prenestino/Centocelle,30
I Centro Storico,60
XII Monte Verde,49
XII Monte Verde,70
XV Cassia/Flaminia,60
XIII Aurelia,66
I Centro Storico,80
VII San Giovanni/CinecittĂ ,50
XI Arvalia/Portuense,64
I Centro Storico,50
I Centro Storico,75
V Prenestino/Centocelle,45
I Centro Storico,65
I Centro Storico,71
I Centro Storico,63
I Centro Storico,109
VII San Giovanni/CinecittĂ ,25
II Parioli/Nomentano,33
I Centro Storico,106
VII San Giovanni/CinecittĂ ,70
V Prenestino/Centocelle,40
II Parioli/Nomentano,60
I Centro Storico,49
XI Arvalia/Portuense,45
I Centro Storico,70
XIV Monte Mario,70
I Centro Storico,40
VII San Giovanni/CinecittĂ ,75
I Centro Storico,178
X Ostia/Acilia,25
XI Arvalia/Portuense,55
II Parioli/Nomentano,100
I Centro Storico,107
I Centro Storico,70
I Centro Storico,250
XII Monte Verde,87
II Parioli/Nomentano,99
I Centro Storico,60
II Parioli/Nomentano,91
II Parioli/Nomentano,80
VII San Giovanni/CinecittĂ ,90
I Centro Storico,135
I Centro Storico,110
I Centro Storico,135
I Centro Storico,72
II Parioli/Nomentano,70
I Centro Storico,187
I Centro Storico,77
I Centro Storico,88
I Centro Storico,43
I Centro Storico,80
I Centro Storico,105
I Centro Storico,42
I Centro Storico,120
XI Arvalia/Portuense,35
I Centro Storico,100
II Parioli/Nomentano,82
I Centro Storico,100
I Centro Storico,90
XIII Aurelia,123
I Centro Storico,86
XII Monte Verde,43
X Ostia/Acilia,72
II Parioli/Nomentano,60
I Centro Storico,220
I Centro Storico,64
I Centro Storico,120
I Centro Storico,98
XII Monte Verde,47
I Centro Storico,48
I Centro Storico,63
I Centro Storico,63
I Centro Storico,67
I Centro Storico,60
I Centro Storico,100
VII San Giovanni/CinecittĂ ,100
I Centro Storico,76
IX Eur,50
I Centro Storico,79
I Centro Storico,160
VIII Appia Antica,85
I Centro Storico,80
I Centro Storico,135
I Centro Storico,79
I Centro Storico,70
I Centro Storico,70
XII Monte Verde,60
I Centro Storico,86
I Centro Storico,178
I Centro Storico,120
I Centro Storico,160
I Centro Storico,250
XII Monte Verde,125
I Centro Storico,100
XV Cassia/Flaminia,60
VI Roma delle Torri,110
I Centro Storico,89
I Centro Storico,93
I Centro Storico,109
XV Cassia/Flaminia,150
I Centro Storico,159
I Centro Storico,60
XII Monte Verde,70
II Parioli/Nomentano,45
XII Monte Verde,65
I Centro Storico,130
I Centro Storico,104
I Centro Storico,68
I Centro Storico,60
I Centro Storico,92
I Centro Storico,200
I Centro Storico,150
V Prenestino/Centocelle,55
XIV Monte Mario,65
I Centro Storico,280
XIII Aurelia,45
I Centro Storico,100
II Parioli/Nomentano,45
II Parioli/Nomentano,48
I Centro Storico,140
VI Roma delle Torri,110
I Centro Storico,56
XIII Aurelia,84
VIII Appia Antica,41
III Monte Sacro,100
I Centro Storico,90
III Monte Sacro,50
I Centro Storico,85
V Prenestino/Centocelle,38
II Parioli/Nomentano,45
I Centro Storico,37
I Centro Storico,40
VII San Giovanni/CinecittĂ ,46
III Monte Sacro,50
XIV Monte Mario,59
I Centro Storico,78
XIII Aurelia,111
XIII Aurelia,49
I Centro Storico,78
I Centro Storico,38
III Monte Sacro,70
XIII Aurelia,80
XIII Aurelia,46
V Prenestino/Centocelle,49
I Centro Storico,64
I Centro Storico,65
XI Arvalia/Portuense,45
I Centro Storico,99
I Centro Storico,49
II Parioli/Nomentano,90
I Centro Storico,83
VII San Giovanni/CinecittĂ ,151
I Centro Storico,99
I Centro Storico,150
I Centro Storico,52
XI Arvalia/Portuense,50
I Centro Storico,80
I Centro Storico,130
I Centro Storico,71
XI Arvalia/Portuense,50
VII San Giovanni/CinecittĂ ,36
V Prenestino/Centocelle,29
XI Arvalia/Portuense,42
V Prenestino/Centocelle,32
I Centro Storico,45
II Parioli/Nomentano,52
II Parioli/Nomentano,60
II Parioli/Nomentano,62
I Centro Storico,83
I Centro Storico,26
I Centro Storico,70
XI Arvalia/Portuense,48
VIII Appia Antica,100
I Centro Storico,70
XI Arvalia/Portuense,50
I Centro Storico,70
XI Arvalia/Portuense,45
XIV Monte Mario,120
XIII Aurelia,69
I Centro Storico,85
I Centro Storico,65
IV Tiburtina,55
XII Monte Verde,140
I Centro Storico,140
II Parioli/Nomentano,111
XIII Aurelia,114
I Centro Storico,100
XIII Aurelia,80
I Centro Storico,60
XIII Aurelia,55
VII San Giovanni/CinecittĂ ,59
I Centro Storico,35
I Centro Storico,57
I Centro Storico,50
I Centro Storico,68
I Centro Storico,44
XV Cassia/Flaminia,78
X Ostia/Acilia,49
VII San Giovanni/CinecittĂ ,40
V Prenestino/Centocelle,36
I Centro Storico,56
VIII Appia Antica,88
I Centro Storico,86
I Centro Storico,74
XIII Aurelia,48
I Centro Storico,65
I Centro Storico,133
I Centro Storico,70
XII Monte Verde,90
XI Arvalia/Portuense,49
II Parioli/Nomentano,150
VIII Appia Antica,63
IV Tiburtina,45
IX Eur,28
XII Monte Verde,100
VIII Appia Antica,70
I Centro Storico,78
XI Arvalia/Portuense,67
I Centro Storico,50
XV Cassia/Flaminia,60
I Centro Storico,38
I Centro Storico,120
XV Cassia/Flaminia,50
I Centro Storico,135
XIII Aurelia,29
I Centro Storico,64
IX Eur,65
XII Monte Verde,50
VIII Appia Antica,46
II Parioli/Nomentano,70
I Centro Storico,200
I Centro Storico,71
I Centro Storico,70
XIII Aurelia,45
II Parioli/Nomentano,68
IX Eur,45
I Centro Storico,48
I Centro Storico,70
IX Eur,55
I Centro Storico,130
II Parioli/Nomentano,100
II Parioli/Nomentano,118
I Centro Storico,72
I Centro Storico,74
I Centro Storico,124
I Centro Storico,180
II Parioli/Nomentano,120
I Centro Storico,76
I Centro Storico,150
I Centro Storico,150
VII San Giovanni/CinecittĂ ,57
VII San Giovanni/CinecittĂ ,65
I Centro Storico,98
I Centro Storico,40
XV Cassia/Flaminia,40
I Centro Storico,80
XII Monte Verde,60
I Centro Storico,83
I Centro Storico,72
II Parioli/Nomentano,60
X Ostia/Acilia,50
XII Monte Verde,54
I Centro Storico,97
I Centro Storico,60
I Centro Storico,75
II Parioli/Nomentano,60
I Centro Storico,90
I Centro Storico,104
I Centro Storico,126
XIII Aurelia,80
III Monte Sacro,66
XII Monte Verde,129
XII Monte Verde,66
VI Roma delle Torri,130
I Centro Storico,45
III Monte Sacro,60
XIII Aurelia,70
I Centro Storico,58
VII San Giovanni/CinecittĂ ,73
XIV Monte Mario,45
VII San Giovanni/CinecittĂ ,70
I Centro Storico,20
I Centro Storico,89
I Centro Storico,20
I Centro Storico,20
I Centro Storico,20
I Centro Storico,107
I Centro Storico,45
XI Arvalia/Portuense,70
I Centro Storico,45
I Centro Storico,45
I Centro Storico,59
XIII Aurelia,70
XII Monte Verde,60
I Centro Storico,120
V Prenestino/Centocelle,50
XII Monte Verde,150
I Centro Storico,76
XIV Monte Mario,30
XII Monte Verde,70
VIII Appia Antica,45
II Parioli/Nomentano,300
I Centro Storico,80
XV Cassia/Flaminia,90
I Centro Storico,35
I Centro Storico,60
I Centro Storico,86
V Prenestino/Centocelle,68
I Centro Storico,65
I Centro Storico,48
I Centro Storico,86
I Centro Storico,69
I Centro Storico,64
I Centro Storico,119
XIV Monte Mario,40
I Centro Storico,40
I Centro Storico,40
I Centro Storico,36
VI Roma delle Torri,36
I Centro Storico,210
I Centro Storico,108
V Prenestino/Centocelle,58
XV Cassia/Flaminia,56
