neighbourhood_cleansed,price
II Parioli/Nomentano,39
II Parioli/Nomentano,45
II Parioli/Nomentano,74
I Centro Storico,84
I Centro Storico,112
I Centro Storico,79
VIII Appia Antica,28
VII San Giovanni/CinecittĂ ,43
X Ostia/Acilia,158
I Centro Storico,55
I Centro Storico,130
VII San Giovanni/CinecittĂ ,60
I Centro Storico,55
I Centro Storico,65
I Centro Storico,66
I Centro Storico,66
I Centro Storico,86
I Centro Storico,77
VII San Giovanni/CinecittĂ ,50
II Parioli/Nomentano,90
I Centro Storico,80
I Centro Storico,89
I Centro Storico,46
I Centro Storico,125
II Parioli/Nomentano,35
I Centro Storico,68
I Centro Storico,35
I Centro Storico,85
VII San Giovanni/CinecittĂ ,50
I Centro Storico,75
I Centro Storico,81
I Centro Storico,52
IV Tiburtina,35
I Centro Storico,65
VIII Appia Antica,34
XIII Aurelia,80
II Parioli/Nomentano,65
I Centro Storico,100
I Centro Storico,99
I Centro Storico,51
I Centro Storico,96
I Centro Storico,81
I Centro Storico,65
I Centro Storico,102
V Prenestino/Centocelle,53
I Centro Storico,44
I Centro Storico,129
I Centro Storico,150
X Ostia/Acilia,65
X Ostia/Acilia,46
I Centro Storico,150
I Centro Storico,161
I Centro Storico,161
I Centro Storico,172
I Centro Storico,125
VII San Giovanni/CinecittĂ ,50
I Centro Storico,61
I Centro Storico,50
VII San Giovanni/CinecittĂ ,32
XII Monte Verde,90
IV Tiburtina,42
I Centro Storico,40
I Centro Storico,65
I Centro Storico,107
XIII Aurelia,64
I Centro Storico,110
X Ostia/Acilia,80
I Centro Storico,86
I Centro Storico,129
VII San Giovanni/CinecittĂ ,60
XIII Aurelia,144
I Centro Storico,110
V Prenestino/Centocelle,50
X Ostia/Acilia,60
I Centro Storico,46
I Centro Storico,40
II Parioli/Nomentano,25
I Centro Storico,79
VIII Appia Antica,15
I Centro Storico,131
I Centro Storico,59
VII San Giovanni/CinecittĂ ,30
I Centro Storico,103
I Centro Storico,90
XII Monte Verde,70
I Centro Storico,200
II Parioli/Nomentano,40
VI Roma delle Torri,25
II Parioli/Nomentano,65
I Centro Storico,105
I Centro Storico,123
I Centro Storico,116
I Centro Storico,139
I Centro Storico,151
III Monte Sacro,150
VIII Appia Antica,70
I Centro Storico,53
I Centro Storico,60
I Centro Storico,65
I Centro Storico,96
I Centro Storico,70
I Centro Storico,92
I Centro Storico,93
VII San Giovanni/CinecittĂ ,71
V Prenestino/Centocelle,40
X Ostia/Acilia,100
V Prenestino/Centocelle,40
II Parioli/Nomentano,90
I Centro Storico,99
X Ostia/Acilia,30
I Centro Storico,120
III Monte Sacro,59
I Centro Storico,34
I Centro Storico,60
I Centro Storico,150
I Centro Storico,126
I Centro Storico,69
II Parioli/Nomentano,113
I Centro Storico,90
I Centro Storico,204
II Parioli/Nomentano,123
I Centro Storico,50
II Parioli/Nomentano,132
VII San Giovanni/CinecittĂ ,68
I Centro Storico,70
X Ostia/Acilia,100
I Centro Storico,84
XIII Aurelia,150
VII San Giovanni/CinecittĂ ,45
I Centro Storico,95
VII San Giovanni/CinecittĂ ,149
VIII Appia Antica,45
XII Monte Verde,70
I Centro Storico,131
VII San Giovanni/CinecittĂ ,50
XIII Aurelia,36
V Prenestino/Centocelle,53
VII San Giovanni/CinecittĂ ,71
II Parioli/Nomentano,53
II Parioli/Nomentano,53
II Parioli/Nomentano,59
II Parioli/Nomentano,53
I Centro Storico,51
II Parioli/Nomentano,20
I Centro Storico,200
I Centro Storico,59
V Prenestino/Centocelle,31
I Centro Storico,100
III Monte Sacro,40
XV Cassia/Flaminia,104
IV Tiburtina,30
XII Monte Verde,40
I Centro Storico,100
II Parioli/Nomentano,47
I Centro Storico,122
I Centro Storico,185
I Centro Storico,63
XII Monte Verde,85
I Centro Storico,150
I Centro Storico,82
X Ostia/Acilia,35
I Centro Storico,140
I Centro Storico,125
XI Arvalia/Portuense,60
VIII Appia Antica,76
VII San Giovanni/CinecittĂ ,63
I Centro Storico,127
II Parioli/Nomentano,70
I Centro Storico,219
I Centro Storico,72
I Centro Storico,29
V Prenestino/Centocelle,50
XI Arvalia/Portuense,50
I Centro Storico,110
I Centro Storico,89
I Centro Storico,64
V Prenestino/Centocelle,38
IV Tiburtina,75
X Ostia/Acilia,60
VII San Giovanni/CinecittĂ ,95
I Centro Storico,75
I Centro Storico,100
I Centro Storico,40
II Parioli/Nomentano,65
I Centro Storico,55
I Centro Storico,78
I Centro Storico,120
VII San Giovanni/CinecittĂ ,55
I Centro Storico,95
XIII Aurelia,55
II Parioli/Nomentano,70
I Centro Storico,156
XII Monte Verde,50
I Centro Storico,123
I Centro Storico,82
I Centro Storico,75
VII San Giovanni/CinecittĂ ,95
I Centro Storico,90
VII San Giovanni/CinecittĂ ,48
X Ostia/Acilia,40
I Centro Storico,52
V Prenestino/Centocelle,30
I Centro Storico,36
I Centro Storico,39
I Centro Storico,36
I Centro Storico,44
II Parioli/Nomentano,34
I Centro Storico,100
I Centro Storico,36
I Centro Storico,52
I Centro Storico,43
I Centro Storico,150
I Centro Storico,220
V Prenestino/Centocelle,40
I Centro Storico,67
I Centro Storico,104
I Centro Storico,161
I Centro Storico,64
I Centro Storico,149
I Centro Storico,141
I Centro Storico,93
XII Monte Verde,69
I Centro Storico,79
I Centro Storico,65
II Parioli/Nomentano,55
I Centro Storico,200
XII Monte Verde,60
II Parioli/Nomentano,59
XIII Aurelia,45
I Centro Storico,106
I Centro Storico,380
I Centro Storico,63
I Centro Storico,48
I Centro Storico,350
XV Cassia/Flaminia,40
I Centro Storico,120
I Centro Storico,92
I Centro Storico,200
XII Monte Verde,59
I Centro Storico,60
I Centro Storico,156
VII San Giovanni/CinecittĂ ,92
III Monte Sacro,45
I Centro Storico,68
I Centro Storico,107
I Centro Storico,350
XII Monte Verde,35
I Centro Storico,85
II Parioli/Nomentano,388
I Centro Storico,28
II Parioli/Nomentano,52
I Centro Storico,100
XIII Aurelia,89
II Parioli/Nomentano,50
V Prenestino/Centocelle,49
I Centro Storico,32
I Centro Storico,83
VIII Appia Antica,109
XIII Aurelia,71
I Centro Storico,43
VI Roma delle Torri,60
VII San Giovanni/CinecittĂ ,40
XIII Aurelia,90
I Centro Storico,100
I Centro Storico,72
I Centro Storico,94
VII San Giovanni/CinecittĂ ,40
XIV Monte Mario,53
VII San Giovanni/CinecittĂ ,90
I Centro Storico,98
II Parioli/Nomentano,35
I Centro Storico,79
I Centro Storico,76
I Centro Storico,77
I Centro Storico,53
I Centro Storico,56
I Centro Storico,36
I Centro Storico,90
III Monte Sacro,20
I Centro Storico,50
XIII Aurelia,70
I Centro Storico,95
XIV Monte Mario,50
XV Cassia/Flaminia,123
I Centro Storico,88
I Centro Storico,48
VI Roma delle Torri,20
XIII Aurelia,34
XII Monte Verde,29
XV Cassia/Flaminia,55
XV Cassia/Flaminia,95
II Parioli/Nomentano,99
I Centro Storico,59
I Centro Storico,49
I Centro Storico,35
I Centro Storico,49
XII Monte Verde,100
XIII Aurelia,70
I Centro Storico,35
I Centro Storico,45
I Centro Storico,54
VIII Appia Antica,120
XV Cassia/Flaminia,77
I Centro Storico,126
I Centro Storico,92
XIV Monte Mario,100
I Centro Storico,85
I Centro Storico,140
I Centro Storico,87
VIII Appia Antica,49
I Centro Storico,120
I Centro Storico,284
I Centro Storico,98
II Parioli/Nomentano,300
XIII Aurelia,160
I Centro Storico,65
XII Monte Verde,106
I Centro Storico,100
VII San Giovanni/CinecittĂ ,95
X Ostia/Acilia,70
I Centro Storico,115
VII San Giovanni/CinecittĂ ,61
III Monte Sacro,65
V Prenestino/Centocelle,40
II Parioli/Nomentano,80
I Centro Storico,116
I Centro Storico,36
II Parioli/Nomentano,20
I Centro Storico,69
XIII Aurelia,40
I Centro Storico,87
XIII Aurelia,180
I Centro Storico,108
XIII Aurelia,35
I Centro Storico,55
I Centro Storico,45
V Prenestino/Centocelle,50
I Centro Storico,107
I Centro Storico,139
I Centro Storico,31
I Centro Storico,107
I Centro Storico,147
I Centro Storico,146
I Centro Storico,55
I Centro Storico,71
I Centro Storico,16
VIII Appia Antica,68
I Centro Storico,55
I Centro Storico,34
IV Tiburtina,52
I Centro Storico,34
I Centro Storico,34
XIV Monte Mario,67
I Centro Storico,99
II Parioli/Nomentano,45
XV Cassia/Flaminia,123
XV Cassia/Flaminia,108
I Centro Storico,69
I Centro Storico,75
XI Arvalia/Portuense,39
V Prenestino/Centocelle,50
XIII Aurelia,63
I Centro Storico,76
I Centro Storico,73
I Centro Storico,150
I Centro Storico,150
I Centro Storico,80
I Centro Storico,35
X Ostia/Acilia,65
V Prenestino/Centocelle,27
VIII Appia Antica,63
I Centro Storico,85
I Centro Storico,156
XII Monte Verde,90
VII San Giovanni/CinecittĂ ,94
I Centro Storico,275
I Centro Storico,86
XIII Aurelia,80
I Centro Storico,212
I Centro Storico,150
V Prenestino/Centocelle,45
IV Tiburtina,50
I Centro Storico,75
I Centro Storico,54
I Centro Storico,91
XII Monte Verde,70
I Centro Storico,135
I Centro Storico,47
IV Tiburtina,25
I Centro Storico,111
II Parioli/Nomentano,40
IV Tiburtina,37
I Centro Storico,146
XII Monte Verde,66
X Ostia/Acilia,60
I Centro Storico,65
I Centro Storico,92
I Centro Storico,112
I Centro Storico,83
I Centro Storico,79
I Centro Storico,73
XI Arvalia/Portuense,100
IV Tiburtina,90
I Centro Storico,65
I Centro Storico,90
VII San Giovanni/CinecittĂ ,50
I Centro Storico,93
I Centro Storico,49
XIII Aurelia,47
II Parioli/Nomentano,55
I Centro Storico,41
I Centro Storico,150
I Centro Storico,69
V Prenestino/Centocelle,43
XV Cassia/Flaminia,30
I Centro Storico,82
I Centro Storico,70
I Centro Storico,27
XIII Aurelia,70
I Centro Storico,62
I Centro Storico,38
II Parioli/Nomentano,105
I Centro Storico,91
I Centro Storico,85
I Centro Storico,55
I Centro Storico,126
III Monte Sacro,60
IV Tiburtina,45
I Centro Storico,75
XIII Aurelia,54
I Centro Storico,105
I Centro Storico,48
IV Tiburtina,98
I Centro Storico,69
I Centro Storico,150
XIII Aurelia,52
XIII Aurelia,50
XII Monte Verde,85
I Centro Storico,55
I Centro Storico,69
XII Monte Verde,61
I Centro Storico,61
I Centro Storico,90
IX Eur,80
XII Monte Verde,59
I Centro Storico,99
I Centro Storico,99
I Centro Storico,128
XIII Aurelia,110
I Centro Storico,211
I Centro Storico,132
I Centro Storico,128
I Centro Storico,110
I Centro Storico,132
I Centro Storico,132
I Centro Storico,118
I Centro Storico,132
I Centro Storico,110
I Centro Storico,99
I Centro Storico,99
I Centro Storico,110
I Centro Storico,25
I Centro Storico,138
XV Cassia/Flaminia,37
IV Tiburtina,20
I Centro Storico,84
VII San Giovanni/CinecittĂ ,51
I Centro Storico,59
VII San Giovanni/CinecittĂ ,50
XII Monte Verde,32
VII San Giovanni/CinecittĂ ,50
VIII Appia Antica,100
XV Cassia/Flaminia,110
XV Cassia/Flaminia,98
I Centro Storico,86
IX Eur,90
I Centro Storico,110
XIV Monte Mario,150
XI Arvalia/Portuense,90
I Centro Storico,78
I Centro Storico,50
I Centro Storico,150
XI Arvalia/Portuense,55
XII Monte Verde,55
I Centro Storico,91
V Prenestino/Centocelle,27
II Parioli/Nomentano,95
I Centro Storico,120
VII San Giovanni/CinecittĂ ,86
II Parioli/Nomentano,140
XI Arvalia/Portuense,95
I Centro Storico,74
I Centro Storico,75
I Centro Storico,80
I Centro Storico,38
I Centro Storico,69
I Centro Storico,88
I Centro Storico,60
I Centro Storico,65
XIII Aurelia,60
I Centro Storico,92
I Centro Storico,178
I Centro Storico,213
I Centro Storico,230
I Centro Storico,253
I Centro Storico,224
I Centro Storico,242
I Centro Storico,200
I Centro Storico,200
I Centro Storico,66
I Centro Storico,58
VIII Appia Antica,85
I Centro Storico,98
I Centro Storico,110
I Centro Storico,64
XII Monte Verde,40
I Centro Storico,55
XIV Monte Mario,51
XII Monte Verde,88
I Centro Storico,46
IV Tiburtina,81
XI Arvalia/Portuense,68
VIII Appia Antica,61
VII San Giovanni/CinecittĂ ,51
II Parioli/Nomentano,81
I Centro Storico,85
X Ostia/Acilia,80
I Centro Storico,70
II Parioli/Nomentano,82
VII San Giovanni/CinecittĂ ,88
XIII Aurelia,80
I Centro Storico,73
I Centro Storico,70
II Parioli/Nomentano,79
I Centro Storico,102
I Centro Storico,106
I Centro Storico,142
I Centro Storico,158
I Centro Storico,92
I Centro Storico,87
V Prenestino/Centocelle,69
IX Eur,180
II Parioli/Nomentano,70
XV Cassia/Flaminia,136
II Parioli/Nomentano,105
IX Eur,39
I Centro Storico,80
V Prenestino/Centocelle,30
XIII Aurelia,83
I Centro Storico,297
I Centro Storico,84
I Centro Storico,100
I Centro Storico,75
II Parioli/Nomentano,35
I Centro Storico,106
I Centro Storico,100
I Centro Storico,67
XII Monte Verde,29
IX Eur,30
XIII Aurelia,35
VIII Appia Antica,123
XI Arvalia/Portuense,49
VII San Giovanni/CinecittĂ ,104
I Centro Storico,140
I Centro Storico,134
VIII Appia Antica,99
XII Monte Verde,30
I Centro Storico,83
I Centro Storico,134
VII San Giovanni/CinecittĂ ,40
I Centro Storico,78
I Centro Storico,65
VII San Giovanni/CinecittĂ ,45
II Parioli/Nomentano,99
I Centro Storico,158
VII San Giovanni/CinecittĂ ,48
I Centro Storico,148
I Centro Storico,48
X Ostia/Acilia,60
VII San Giovanni/CinecittĂ ,101
X Ostia/Acilia,35
VII San Giovanni/CinecittĂ ,20
I Centro Storico,134
I Centro Storico,80
I Centro Storico,22
I Centro Storico,91
I Centro Storico,96
VII San Giovanni/CinecittĂ ,20
VII San Giovanni/CinecittĂ ,20
X Ostia/Acilia,25
I Centro Storico,100
V Prenestino/Centocelle,30
I Centro Storico,149
I Centro Storico,127
I Centro Storico,108
VII San Giovanni/CinecittĂ ,74
I Centro Storico,115
I Centro Storico,16
II Parioli/Nomentano,59
XII Monte Verde,66
XII Monte Verde,78
XII Monte Verde,27
VIII Appia Antica,80
I Centro Storico,150
XIII Aurelia,55
XV Cassia/Flaminia,38
VII San Giovanni/CinecittĂ ,73
XII Monte Verde,55
XII Monte Verde,55
XIII Aurelia,49
I Centro Storico,28
I Centro Storico,60
I Centro Storico,82
X Ostia/Acilia,28
VII San Giovanni/CinecittĂ ,51
I Centro Storico,100
I Centro Storico,78
XIII Aurelia,52
IV Tiburtina,25
I Centro Storico,90
I Centro Storico,112
I Centro Storico,123
VII San Giovanni/CinecittĂ ,48
VII San Giovanni/CinecittĂ ,61
VII San Giovanni/CinecittĂ ,45
VIII Appia Antica,72
VII San Giovanni/CinecittĂ ,65
VII San Giovanni/CinecittĂ ,65
XII Monte Verde,75
VI Roma delle Torri,65
I Centro Storico,106
VII San Giovanni/CinecittĂ ,75
I Centro Storico,71
VII San Giovanni/CinecittĂ ,71
II Parioli/Nomentano,49
I Centro Storico,101
XIII Aurelia,60
V Prenestino/Centocelle,30
I Centro Storico,81
I Centro Storico,88
I Centro Storico,91
I Centro Storico,170
I Centro Storico,182
I Centro Storico,149
I Centro Storico,99
I Centro Storico,90
XIV Monte Mario,100
I Centro Storico,161
II Parioli/Nomentano,80
IV Tiburtina,70
XIV Monte Mario,45
I Centro Storico,85
I Centro Storico,290
VII San Giovanni/CinecittĂ ,61
IX Eur,49
I Centro Storico,133
I Centro Storico,90
II Parioli/Nomentano,44
II Parioli/Nomentano,39
I Centro Storico,140
II Parioli/Nomentano,25
VII San Giovanni/CinecittĂ ,75
II Parioli/Nomentano,90
XV Cassia/Flaminia,58
XIII Aurelia,55
I Centro Storico,59
III Monte Sacro,90
III Monte Sacro,90
XII Monte Verde,35
I Centro Storico,108
VII San Giovanni/CinecittĂ ,40
XV Cassia/Flaminia,26
XIII Aurelia,59
I Centro Storico,75
I Centro Storico,119
I Centro Storico,120
XIII Aurelia,72
I Centro Storico,60
I Centro Storico,80
I Centro Storico,80
X Ostia/Acilia,70
XII Monte Verde,40
VIII Appia Antica,53
I Centro Storico,80
VIII Appia Antica,39
I Centro Storico,195
VI Roma delle Torri,54
I Centro Storico,109
XIII Aurelia,49
I Centro Storico,50
I Centro Storico,82
III Monte Sacro,45
I Centro Storico,110
I Centro Storico,88
I Centro Storico,75
I Centro Storico,81
X Ostia/Acilia,45
I Centro Storico,45
XII Monte Verde,83
I Centro Storico,150
I Centro Storico,79
I Centro Storico,53
VII San Giovanni/CinecittĂ ,39
I Centro Storico,40
I Centro Storico,40
I Centro Storico,40
I Centro Storico,40
I Centro Storico,90
XIII Aurelia,60
V Prenestino/Centocelle,150
I Centro Storico,89
I Centro Storico,90
VII San Giovanni/CinecittĂ ,100
XI Arvalia/Portuense,51
I Centro Storico,68
I Centro Storico,60
I Centro Storico,39
XIV Monte Mario,40
X Ostia/Acilia,90
X Ostia/Acilia,43
I Centro Storico,150
I Centro Storico,57
I Centro Storico,190
VIII Appia Antica,45
I Centro Storico,75
XIV Monte Mario,20
VII San Giovanni/CinecittĂ ,35
VII San Giovanni/CinecittĂ ,40
VII San Giovanni/CinecittĂ ,45
I Centro Storico,54
I Centro Storico,100
VII San Giovanni/CinecittĂ ,50
V Prenestino/Centocelle,41
XI Arvalia/Portuense,59
I Centro Storico,329
I Centro Storico,77
I Centro Storico,136
I Centro Storico,90
IV Tiburtina,49
VII San Giovanni/CinecittĂ ,61
I Centro Storico,89
I Centro Storico,37
I Centro Storico,34
XIII Aurelia,119
I Centro Storico,124
VII San Giovanni/CinecittĂ ,61
VII San Giovanni/CinecittĂ ,57
VII San Giovanni/CinecittĂ ,67
XIII Aurelia,76
XII Monte Verde,71
I Centro Storico,259
I Centro Storico,66
I Centro Storico,210
I Centro Storico,120
II Parioli/Nomentano,30
IV Tiburtina,50
XII Monte Verde,50
VII San Giovanni/CinecittĂ ,50
XIII Aurelia,80
I Centro Storico,92
I Centro Storico,71
XI Arvalia/Portuense,55
I Centro Storico,73
I Centro Storico,60
IV Tiburtina,29
I Centro Storico,140
I Centro Storico,74
I Centro Storico,73
I Centro Storico,50
I Centro Storico,150
XIII Aurelia,27
II Parioli/Nomentano,42
II Parioli/Nomentano,65
I Centro Storico,65
II Parioli/Nomentano,50
X Ostia/Acilia,75
II Parioli/Nomentano,60
I Centro Storico,74
V Prenestino/Centocelle,39
I Centro Storico,51
I Centro Storico,155
I Centro Storico,45
I Centro Storico,84
II Parioli/Nomentano,71
II Parioli/Nomentano,75
V Prenestino/Centocelle,35
VI Roma delle Torri,35
I Centro Storico,38
XV Cassia/Flaminia,65
I Centro Storico,69
I Centro Storico,121
II Parioli/Nomentano,90
I Centro Storico,80
II Parioli/Nomentano,49
I Centro Storico,46
I Centro Storico,159
VII San Giovanni/CinecittĂ ,88
XIV Monte Mario,69
IV Tiburtina,22
I Centro Storico,70
I Centro Storico,58
VI Roma delle Torri,30
I Centro Storico,55
II Parioli/Nomentano,300
I Centro Storico,71
IV Tiburtina,29
I Centro Storico,67
I Centro Storico,86
II Parioli/Nomentano,142
I Centro Storico,70
I Centro Storico,79
II Parioli/Nomentano,28
XV Cassia/Flaminia,162
VII San Giovanni/CinecittĂ ,46
I Centro Storico,78
II Parioli/Nomentano,34
I Centro Storico,50
II Parioli/Nomentano,90
II Parioli/Nomentano,65
VIII Appia Antica,53
I Centro Storico,70
XIII Aurelia,110
II Parioli/Nomentano,73
I Centro Storico,76
I Centro Storico,75
I Centro Storico,50
XIII Aurelia,99
I Centro Storico,75
XIV Monte Mario,80
I Centro Storico,70
I Centro Storico,100
I Centro Storico,99
II Parioli/Nomentano,30
I Centro Storico,61
II Parioli/Nomentano,30
I Centro Storico,60
XIII Aurelia,55
V Prenestino/Centocelle,50
III Monte Sacro,40
III Monte Sacro,65
I Centro Storico,300
VI Roma delle Torri,60
I Centro Storico,62
X Ostia/Acilia,49
I Centro Storico,65
I Centro Storico,320
XIII Aurelia,71
V Prenestino/Centocelle,36
VII San Giovanni/CinecittĂ ,35
VII San Giovanni/CinecittĂ ,46
I Centro Storico,130
VII San Giovanni/CinecittĂ ,129
I Centro Storico,189
I Centro Storico,81
I Centro Storico,118
I Centro Storico,150
VI Roma delle Torri,65
I Centro Storico,73
I Centro Storico,70
VI Roma delle Torri,60
I Centro Storico,180
I Centro Storico,136
I Centro Storico,250
I Centro Storico,180
I Centro Storico,200
II Parioli/Nomentano,125
I Centro Storico,62
I Centro Storico,75
I Centro Storico,20
II Parioli/Nomentano,39
I Centro Storico,95
I Centro Storico,122
XIV Monte Mario,30
I Centro Storico,66
I Centro Storico,106
II Parioli/Nomentano,65
XV Cassia/Flaminia,65
XII Monte Verde,75
I Centro Storico,80
I Centro Storico,35
I Centro Storico,119
VII San Giovanni/CinecittĂ ,30
I Centro Storico,69
XIV Monte Mario,59
VII San Giovanni/CinecittĂ ,32
VIII Appia Antica,200
I Centro Storico,75
I Centro Storico,75
VII San Giovanni/CinecittĂ ,50
II Parioli/Nomentano,60
I Centro Storico,50
I Centro Storico,194
I Centro Storico,140
XIV Monte Mario,119
I Centro Storico,82
I Centro Storico,73
XII Monte Verde,60
XII Monte Verde,70
II Parioli/Nomentano,110
X Ostia/Acilia,30
I Centro Storico,129
II Parioli/Nomentano,49
XII Monte Verde,60
XI Arvalia/Portuense,60
I Centro Storico,131
XI Arvalia/Portuense,60
VII San Giovanni/CinecittĂ ,140
I Centro Storico,105
I Centro Storico,55
I Centro Storico,79
I Centro Storico,65
XII Monte Verde,65
II Parioli/Nomentano,180
XII Monte Verde,300
VII San Giovanni/CinecittĂ ,55
XII Monte Verde,100
II Parioli/Nomentano,20
I Centro Storico,150
I Centro Storico,66
XI Arvalia/Portuense,41
I Centro Storico,99
II Parioli/Nomentano,57
III Monte Sacro,39
I Centro Storico,60
I Centro Storico,179
I Centro Storico,179
IX Eur,60
I Centro Storico,50
XI Arvalia/Portuense,80
XIV Monte Mario,80
XII Monte Verde,113
I Centro Storico,52
X Ostia/Acilia,80
I Centro Storico,70
I Centro Storico,124
IV Tiburtina,44
XII Monte Verde,39
I Centro Storico,70
XI Arvalia/Portuense,48
XII Monte Verde,89
V Prenestino/Centocelle,76
III Monte Sacro,28
XIII Aurelia,44
I Centro Storico,73
II Parioli/Nomentano,89
I Centro Storico,60
I Centro Storico,43
I Centro Storico,44
VII San Giovanni/CinecittĂ ,58
II Parioli/Nomentano,112
XIII Aurelia,246
VII San Giovanni/CinecittĂ ,290
I Centro Storico,190
I Centro Storico,90
V Prenestino/Centocelle,30
III Monte Sacro,100
I Centro Storico,115
II Parioli/Nomentano,135
II Parioli/Nomentano,39
I Centro Storico,75
VII San Giovanni/CinecittĂ ,14
I Centro Storico,120
XIV Monte Mario,69
I Centro Storico,87
I Centro Storico,118
I Centro Storico,128
II Parioli/Nomentano,129
VII San Giovanni/CinecittĂ ,60
I Centro Storico,38
I Centro Storico,38
XII Monte Verde,53
I Centro Storico,125
I Centro Storico,84
I Centro Storico,59
I Centro Storico,176
I Centro Storico,89
II Parioli/Nomentano,28
XII Monte Verde,70
I Centro Storico,62
VIII Appia Antica,61
I Centro Storico,59
I Centro Storico,116
I Centro Storico,49
VII San Giovanni/CinecittĂ ,90
V Prenestino/Centocelle,56
I Centro Storico,48
IX Eur,60
IV Tiburtina,40
V Prenestino/Centocelle,40
VII San Giovanni/CinecittĂ ,90
I Centro Storico,59
VII San Giovanni/CinecittĂ ,110
I Centro Storico,89
VIII Appia Antica,34
I Centro Storico,99
X Ostia/Acilia,55
I Centro Storico,70
XIII Aurelia,74
IV Tiburtina,44
VII San Giovanni/CinecittĂ ,40
XIII Aurelia,98
XII Monte Verde,90
XIII Aurelia,63
XIII Aurelia,53
I Centro Storico,64
I Centro Storico,125
II Parioli/Nomentano,105
I Centro Storico,191
VII San Giovanni/CinecittĂ ,88
VII San Giovanni/CinecittĂ ,73
I Centro Storico,87
VIII Appia Antica,44
I Centro Storico,100
II Parioli/Nomentano,94
XII Monte Verde,69
XII Monte Verde,69
VII San Giovanni/CinecittĂ ,77
VIII Appia Antica,77
I Centro Storico,80
I Centro Storico,100
I Centro Storico,35
I Centro Storico,96
I Centro Storico,87
I Centro Storico,49
I Centro Storico,140
I Centro Storico,98
XIII Aurelia,50
I Centro Storico,190
I Centro Storico,58
I Centro Storico,135
I Centro Storico,70
I Centro Storico,42
XII Monte Verde,35
I Centro Storico,87
I Centro Storico,71
V Prenestino/Centocelle,80
I Centro Storico,79
XII Monte Verde,90
XII Monte Verde,70
XIII Aurelia,33
XII Monte Verde,70
XIII Aurelia,50
I Centro Storico,177
I Centro Storico,47
I Centro Storico,140
I Centro Storico,122
X Ostia/Acilia,73
V Prenestino/Centocelle,40
I Centro Storico,77
XI Arvalia/Portuense,65
VII San Giovanni/CinecittĂ ,99
XI Arvalia/Portuense,108
I Centro Storico,75
XII Monte Verde,94
I Centro Storico,90
I Centro Storico,114
XII Monte Verde,94
X Ostia/Acilia,50
XIII Aurelia,78
I Centro Storico,180
IX Eur,40
I Centro Storico,97
I Centro Storico,180
I Centro Storico,116
VII San Giovanni/CinecittĂ ,136
I Centro Storico,47
XIII Aurelia,90
VI Roma delle Torri,60
II Parioli/Nomentano,90
I Centro Storico,80
I Centro Storico,100
I Centro Storico,60
I Centro Storico,153
VII San Giovanni/CinecittĂ ,120
I Centro Storico,120
I Centro Storico,108
XII Monte Verde,44
I Centro Storico,110
XIII Aurelia,41
XIV Monte Mario,120
I Centro Storico,155
XII Monte Verde,300
XIII Aurelia,216
I Centro Storico,36
XIII Aurelia,136
I Centro Storico,38
I Centro Storico,37
I Centro Storico,40
I Centro Storico,38
I Centro Storico,60
XIV Monte Mario,36
XIV Monte Mario,30
I Centro Storico,63
VIII Appia Antica,70
I Centro Storico,63
VII San Giovanni/CinecittĂ ,20
I Centro Storico,80
XIV Monte Mario,60
I Centro Storico,86
VIII Appia Antica,139
I Centro Storico,81
II Parioli/Nomentano,55
IV Tiburtina,88
XI Arvalia/Portuense,45
VII San Giovanni/CinecittĂ ,60
VII San Giovanni/CinecittĂ ,69
II Parioli/Nomentano,30
XI Arvalia/Portuense,110
XI Arvalia/Portuense,52
I Centro Storico,259
XIII Aurelia,60
I Centro Storico,100
I Centro Storico,270
XIII Aurelia,120
XII Monte Verde,32
II Parioli/Nomentano,110
I Centro Storico,90
XII Monte Verde,84
XIII Aurelia,70
II Parioli/Nomentano,50
I Centro Storico,99
I Centro Storico,87
VII San Giovanni/CinecittĂ ,51
I Centro Storico,137
II Parioli/Nomentano,28
I Centro Storico,56
I Centro Storico,98
VII San Giovanni/CinecittĂ ,50
I Centro Storico,135
I Centro Storico,265
I Centro Storico,175
I Centro Storico,65
IX Eur,41
II Parioli/Nomentano,30
X Ostia/Acilia,61
I Centro Storico,76
I Centro Storico,53
II Parioli/Nomentano,73
I Centro Storico,95
I Centro Storico,72
I Centro Storico,130
VII San Giovanni/CinecittĂ ,152
V Prenestino/Centocelle,21
XII Monte Verde,79
I Centro Storico,54
I Centro Storico,54
IX Eur,39
VIII Appia Antica,100
I Centro Storico,150
I Centro Storico,60
II Parioli/Nomentano,90
I Centro Storico,165
V Prenestino/Centocelle,65
I Centro Storico,57
I Centro Storico,91
XII Monte Verde,59
I Centro Storico,90
I Centro Storico,103
I Centro Storico,82
I Centro Storico,92
XIII Aurelia,70
I Centro Storico,42
I Centro Storico,74
I Centro Storico,76
VII San Giovanni/CinecittĂ ,20
I Centro Storico,100
I Centro Storico,100
V Prenestino/Centocelle,30
V Prenestino/Centocelle,65
I Centro Storico,237
XIV Monte Mario,130
IV Tiburtina,50
IV Tiburtina,100
I Centro Storico,85
II Parioli/Nomentano,49
VII San Giovanni/CinecittĂ ,60
VII San Giovanni/CinecittĂ ,50
VII San Giovanni/CinecittĂ ,52
I Centro Storico,66
II Parioli/Nomentano,78
I Centro Storico,143
I Centro Storico,67
